sentence,true_sentiment,predicted_sentiment,confidence,rationale
"According to Gran , the company has no plans to move all production to Russia , although that is where the company is growing .",neutral,neutral,0.73,"The statement indicates the company is expanding in Russia but deliberately avoids relocating all production there, which signals risk management rather than a clear financial gain or loss."
"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .",positive,positive,0.96,"Doubling of net sales and turning a pre‑tax loss into break‑even indicate strong revenue growth and improved profitability, which are favorable signals for investors."
"In the third quarter of 2010 , net sales increased by 5.2 % to EUR 205.5 mn , and operating profit by 34.9 % to EUR 23.5 mn .",positive,positive,0.96,"Both net sales and operating profit grew year‑over‑year (5.2% and 34.9% respectively), indicating improved revenue and profitability, which is favorable for the stock price."
Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,positive,positive,0.96,"Operating profit increased markedly from EUR 8.7 mn to EUR 13.1 mn, indicating stronger earnings; the disclosed margin of 7.7% of net sales reinforces the positive financial impact."
"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales .",positive,positive,0.96,"Operating profit increased from EUR 18.6 mn to EUR 21.1 mn, indicating improved profitability and a positive signal for the stock price."
"Finnish Talentum reports its operating profit increased to EUR 20.5 mn in 2005 from EUR 9.3 mn in 2004 , and net sales totaled EUR 103.3 mn , up from EUR 96.4 mn .",positive,positive,0.96,"Both operating profit and net sales show notable year‑over‑year increases, indicating stronger financial performance and likely positive impact on the stock price."
"Clothing retail chain Sepp+l+ 's sales increased by 8 % to EUR 155.2 mn , and operating profit rose to EUR 31.1 mn from EUR 17.1 mn in 2004 .",positive,positive,0.96,"Both sales and operating profit showed double‑digit growth, indicating stronger revenue and profitability, which is favorable for the stock price."
"Consolidated net sales increased 16 % to reach EUR74 .8 m , while operating profit amounted to EUR0 .9 m compared to a loss of EUR0 .7 m in the prior year period .",positive,positive,0.96,"Both top-line and bottom-line metrics improved: net sales rose 16% and operating profit turned from a loss of €0.7 m to a profit of €0.9 m, indicating stronger financial performance."
"Foundries division reports its sales increased by 9.7 % to EUR 63.1 mn from EUR 57.5 mn in the corresponding period in 2006 , and sales of the Machine Shop division increased by 16.4 % to EUR 41.2 mn from EUR 35.4 mn in the corresponding period in 2006 .",positive,positive,0.96,"Both divisions reported double‑digit sales growth year‑over‑year, indicating stronger revenue performance and a favorable outlook for the company."
"HELSINKI ( AFX ) - Shares closed higher , led by Nokia after it announced plans to team up with Sanyo to manufacture 3G handsets , and by Nokian Tyres after its fourth-quarter earnings report beat analysts ' expectations , dealers said .",positive,positive,0.96,"The statement notes that shares closed higher, driven by Nokia's partnership announcement and Nokian Tyres' earnings beat, both of which are favorable signals for investors."
"Its board of directors will propose a dividend of EUR0 .12 per share for 2010 , up from the EUR0 .08 per share paid in 2009 .",positive,positive,0.96,"An increase in the proposed dividend signals stronger cash flow and returns to shareholders, which is generally viewed positively by investors."
"MegaFon 's subscriber base increased 16.1 % in 2009 to 50.5 million users as of December 31 , while its market share by the number of customers amounted to 24 % as of late 2009 , up from 23 % as of late 2008 , according to TeliaSonera estimates .",positive,positive,0.96,"A 16.1% increase in subscriber base and a rise in market share indicate strong growth and competitive gains, which are favorable signals for the company's future revenue and stock performance."
"Net income from life insurance doubled to EUR 6.8 mn from EUR 3.2 mn , and net income from non-life insurance rose to EUR 5.2 mn from EUR 1.5 mn in the corresponding period in 2009 .",positive,positive,0.96,"Both life and non‑life insurance segments reported substantial income growth (doubling and more than three‑fold increase), indicating strong profitability improvements that are favorable for the stock price."
Net sales increased to EUR193 .3 m from EUR179 .9 m and pretax profit rose by 34.2 % to EUR43 .1 m. ( EUR1 = USD1 .4 ),positive,positive,0.96,"Both net sales and pretax profit rose significantly, indicating stronger revenue and profitability, which is favorable for the stock price."
"Net sales surged by 18.5 % to EUR167 .8 m. Teleste said that EUR20 .4 m , or 12.2 % , of the sales came from the acquisitions made in 2009 .",positive,positive,0.96,"The statement highlights an 18.5% increase in net sales, indicating strong revenue growth, which is generally viewed favorably by investors."
Nordea Group 's operating profit increased in 2010 by 18 percent year-on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros .,positive,positive,0.96,"Both operating profit (+18%) and total revenue (+3%) grew year‑on‑year, indicating improved financial performance and likely positive impact on the stock price."
"Operating profit for the nine-month period increased from EUR13 .6 m , while net sales increased from EUR394 .7 m , as compared to the corresponding period in 2005 .",positive,positive,0.96,"Both operating profit and net sales are reported as higher than the comparable period, indicating improved financial performance and likely positive impact on the stock price."
"Operating profit for the three-month period increased from EUR1 .2 m , while revenue increased from EUR20 .2 m , as compared to the corresponding period in 2005 .",positive,positive,0.96,"Both operating profit and revenue show increases versus the prior period, indicating improved financial performance and likely positive impact on the stock price."
"The company 's net profit rose 11.4 % on the year to 82.2 million euros in 2005 on sales of 686.5 million euros , 13.8 % up on the year , the company said earlier .",positive,positive,0.96,"Both net profit and sales increased year‑over‑year, indicating stronger earnings and revenue growth, which is favorable for the stock."
