sentence,true_sentiment,predicted_sentiment,confidence,rationale
"According to Gran , the company has no plans to move all production to Russia , although that is where the company is growing .",neutral,neutral,0.7,"The statement notes growth in Russia but no full relocation, offering no clear positive or negative impact on the stock."
"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .",positive,positive,0.92,"Sales doubled and the company eliminated its pre‑tax loss, indicating improved financial performance."
"In the third quarter of 2010 , net sales increased by 5.2 % to EUR 205.5 mn , and operating profit by 34.9 % to EUR 23.5 mn .",positive,positive,0.95,"Both net sales and operating profit rose, indicating strong financial performance."
Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,positive,positive,0.95,"Operating profit increased from €8.7 mn to €13.1 mn, indicating improved profitability."
"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales .",positive,positive,0.92,"Operating profit rose from 18.6 mn to 21.1 mn, indicating improved profitability."
"Finnish Talentum reports its operating profit increased to EUR 20.5 mn in 2005 from EUR 9.3 mn in 2004 , and net sales totaled EUR 103.3 mn , up from EUR 96.4 mn .",positive,positive,0.95,Operating profit and net sales both increased significantly year over year.
"Clothing retail chain Sepp+l+ 's sales increased by 8 % to EUR 155.2 mn , and operating profit rose to EUR 31.1 mn from EUR 17.1 mn in 2004 .",positive,positive,0.95,"Sales and operating profit both increased, indicating strong financial performance."
"Consolidated net sales increased 16 % to reach EUR74 .8 m , while operating profit amounted to EUR0 .9 m compared to a loss of EUR0 .7 m in the prior year period .",positive,positive,0.92,"Sales grew 16% and the company turned from a loss to a profit, indicating strong financial performance."
"Foundries division reports its sales increased by 9.7 % to EUR 63.1 mn from EUR 57.5 mn in the corresponding period in 2006 , and sales of the Machine Shop division increased by 16.4 % to EUR 41.2 mn from EUR 35.4 mn in the corresponding period in 2006 .",positive,positive,0.95,"Both divisions reported significant sales growth, indicating strong revenue performance."
"HELSINKI ( AFX ) - Shares closed higher , led by Nokia after it announced plans to team up with Sanyo to manufacture 3G handsets , and by Nokian Tyres after its fourth-quarter earnings report beat analysts ' expectations , dealers said .",positive,positive,0.95,"The announcement of a partnership and earnings beat expectations caused shares to rise, indicating good news for investors."
"Its board of directors will propose a dividend of EUR0 .12 per share for 2010 , up from the EUR0 .08 per share paid in 2009 .",positive,positive,0.9,The dividend increase from €0.08 to €0.12 per share signals stronger earnings and a more attractive return for shareholders.
"MegaFon 's subscriber base increased 16.1 % in 2009 to 50.5 million users as of December 31 , while its market share by the number of customers amounted to 24 % as of late 2009 , up from 23 % as of late 2008 , according to TeliaSonera estimates .",positive,positive,0.9,"MegaFon’s subscriber base and market share grew significantly, indicating strong performance and likely positive impact on its stock."
"Net income from life insurance doubled to EUR 6.8 mn from EUR 3.2 mn , and net income from non-life insurance rose to EUR 5.2 mn from EUR 1.5 mn in the corresponding period in 2009 .",positive,positive,0.95,"Net income from both life and non‑life insurance segments increased markedly, indicating strong profitability growth."
Net sales increased to EUR193 .3 m from EUR179 .9 m and pretax profit rose by 34.2 % to EUR43 .1 m. ( EUR1 = USD1 .4 ),positive,positive,0.95,"Both net sales and pretax profit increased, indicating strong financial performance."
"Net sales surged by 18.5 % to EUR167 .8 m. Teleste said that EUR20 .4 m , or 12.2 % , of the sales came from the acquisitions made in 2009 .",positive,positive,0.95,"Net sales increased by 18.5%, indicating strong revenue growth that is favorable for investors."
Nordea Group 's operating profit increased in 2010 by 18 percent year-on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros .,positive,positive,0.95,"Operating profit rose 18% and revenue grew 3%, indicating strong financial performance."
"Operating profit for the nine-month period increased from EUR13 .6 m , while net sales increased from EUR394 .7 m , as compared to the corresponding period in 2005 .",positive,positive,0.95,"Both operating profit and net sales rose, indicating stronger performance."
"Operating profit for the three-month period increased from EUR1 .2 m , while revenue increased from EUR20 .2 m , as compared to the corresponding period in 2005 .",positive,positive,0.95,"Both operating profit and revenue rose compared to the same period in 2005, indicating stronger financial performance."
"The company 's net profit rose 11.4 % on the year to 82.2 million euros in 2005 on sales of 686.5 million euros , 13.8 % up on the year , the company said earlier .",positive,positive,0.95,"Both profit and sales increased significantly, indicating strong financial performance."
"The Lithuanian beer market made up 14.41 million liters in January , a rise of 0.8 percent from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the results from its members .",positive,positive,0.7,"The 0.8% rise in beer market volume indicates modest growth, which is generally viewed as a positive sign for the industry."
"Viking Line 's cargo revenue increased by 5.4 % to EUR 21.46 mn , and cargo volume increased by 2.4 % to 70,116 cargo units .",positive,positive,0.95,"Revenue and cargo volume both increased, indicating stronger business performance."
"The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million .",positive,positive,0.9,"The fair value of the property portfolio doubled, indicating a significant increase in asset value that is likely to benefit shareholders."
10 February 2011 - Finnish media company Sanoma Oyj HEL : SAA1V said yesterday its 2010 net profit almost tripled to EUR297 .3 m from EUR107 .1 m for 2009 and announced a proposal for a raised payout .,positive,positive,0.95,"Net profit nearly tripled and a higher payout proposal indicate strong financial performance, which is favorable for investors."
"A Helsinki : ELIiV today reported EPS of EUR1 .13 for 2009 , an increase over EPS of EUR1 .12 in 2008 .",positive,positive,0.8,"EPS rose from EUR1.12 to EUR1.13, indicating a slight earnings improvement."
"Commission income increased by 22 % to EUR 4.4 mn , and lending volume rose by 13.5 % .",positive,positive,0.95,"Both commission income and lending volume increased, indicating stronger revenue performance."
"In January , traffic , measured in revenue passenger kilometres RPK , went up by 3.2 % and capacity , measured in available seat kilometres ASK , rose by 12.2 % .",positive,positive,0.8,"Traffic (RPK) rose, indicating higher passenger demand, which is generally viewed favorably by investors."
"In January-September 2010 , Fiskars ' net profit went up by 14 % year-on-year to EUR 65.4 million and net sales to EUR 525.3 million from EUR 487.7 million .",positive,positive,0.95,"Profit and sales both increased YoY, indicating strong financial performance."
"Net income from life insurance rose to EUR 16.5 mn from EUR 14.0 mn , and net income from non-life insurance to EUR 22.6 mn from EUR 15.2 mn in 2009 .",positive,positive,0.95,"Both life and non‑life insurance net incomes increased, indicating stronger profitability."
Sales have risen in other export markets .,positive,positive,0.9,"Sales growth in export markets signals expanding revenue, which is generally viewed favorably by investors."
Sales increased due to growing market rates and increased operations .,positive,positive,0.95,"The statement reports a sales increase, which is generally viewed as favorable for a company's financial performance."
The agreement strengthens our long-term partnership with Nokia Siemens Networks .,positive,positive,0.8,"Strengthening a long‑term partnership signals potential for increased business and revenue, which is favorable for the stock."
"The company 's order book stood at 1.5 bln euro $ 2.2 bln on September 30 , 2007 , up by 24.2 pct on the year , with international orders amounting to 365 mln euro $ 534.3 mln .",positive,positive,0.92,"The order book grew 24.2% YoY, indicating strong demand and likely positive impact on future revenue."
"The company said that paper demand increased in all of its main markets , including of publication papers , and that it increased average paper prices by 4 percent compared with last year .",positive,positive,0.9,Higher demand and a 4% price increase suggest stronger revenue prospects.
"The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .",positive,positive,0.95,"Net profit jumped dramatically, indicating strong earnings growth."
"Shares of Standard Chartered ( STAN ) rose 1.2 % in the FTSE 100 , while Royal Bank of Scotland ( RBS ) shares rose 2 % and Barclays shares ( BARC ) ( BCS ) were up 1.7 % .",positive,positive,0.95,"All three banks reported share price gains, indicating positive market sentiment."
Shares of Nokia Corp. rose Thursday after the cell phone maker said its third-quarter earnings almost doubled and its share of the global handset market increased .,positive,positive,0.95,"Earnings nearly doubled and market share grew, driving a share price increase."
